direccion,cantidad,lat,lon
FLORIDA 234,111,-34.605383,-58.375187
SAN MARTIN 66,121,-34.605383,-58.375187
AV LEANDRO N ALEM 928,185,-34.596782,-58.372271
MAIPU 812,102,-34.59861,-58.376845
LAVALLE 1616,191,-34.602995,-58.389635
AV BELGRANO 766,172,-34.612896,-58.377075
MONTEVIDEO 418,311,-34.604008,-58.389382
SAN MARTIN 575,126,-34.601247,-58.373953
25 DE MAYO 555,143,-34.707064,-58.400291
HIPOLITO YRIGOYEN 1284,133,-34.609814,-58.384622
SUIPACHA 207,500,-34.605658,-58.379247
AVDA LEANDRO N ALEM 1110,143,-34.59521,-58.373005
TUCUMAN 834,135,-34.601333,-58.378708
PARANA 123,172,-34.607164,-58.387761
MAIPU 267,367,-34.605034,-58.376425
LAVALLE 1675,191,-34.60301,-58.390728
MAIPU 464,114,-34.602832,-58.376706
25 DE MAYO 596,106,-34.707281,-58.399983
URUGUAY 766,109,-34.599844,-58.386957
URUGUAY 1037,138,-34.596575,-58.387073
AV. LEANDRO N. ALEM 1110,114,-34.59521,-58.373005
PARANA 426,229,-34.603758,-58.388168
CERRITO 1070,371,-34.595898,-58.382712
SAN MARTIN 323,216,-34.604321,-58.373751
RECONQUISTA 360,164,-34.603586,-58.372405
AV DE MAYO 1370,101,-34.609355,-58.385578
CONDARCO 415,103,-34.62639,-58.468419
URUGUAY 385,272,-34.604309,-58.386359
URUGUAY 651,226,-34.601258,-58.38674
TUCUMAN 1455,286,-34.601519,-58.387431
SUIPACHA 211,526,-34.605715,-58.379138
LAVALLE 1569,145,-34.602927,-58.388988
VENEZUELA 110,124,-34.613621,-58.368071
25 DE MAYO 489,175,-34.707378,-58.398679
MARCELO T DE ALVEAR 684,101,-34.596259,-58.376656
MONTEVIDEO 666,106,-34.601146,-58.389573
SARMIENTO 1574,371,-34.6054,-58.388943
25 DE MAYO 460,135,-34.707759,-58.398278
NAHUEL HUAPI 4072,173,-34.565389,-58.47837
CERRITO 1136,113,-34.595076,-58.382806
ESMERALDA 561,123,-34.601745,-58.378079
BERNARDO DE IRIGOYEN 330,109,-34.612164,-58.380538
SUIPACHA 760,129,-34.599428,-58.379722
TUCUMAN 1424,116,-34.60166,-58.386978
RODRIGUEZ PEÂ¥A 694,135,-34.600895,-58.391528
ALICIA MOREAU DE JUSTO 740,130,-34.606131,-58.366599
ALICIA MOREAU DE JUSTO 1848,109,-34.619932,-58.365579
TUCUMAN 1484,133,-34.601678,-58.387587
MAIPU 42,159,-34.607594,-58.376644
LAVALLE 1527,110,-34.602675,-58.388365
LAVALLE 1430,103,-34.602799,-58.38701
TALCAHUANO 638,174,-34.601169,-58.385249
SUIPACHA 1111,879,-34.594939,-58.379554
ESMERALDA 320,121,-34.604525,-58.378008
PARANA 774,119,-34.599703,-58.388195
MAIPU 942,148,-34.596944,-58.377218
URUGUAY 485,124,-34.603057,-58.386462
MONTEVIDEO 770,143,-34.599857,-58.389747
FLORIDA 520,145,-34.601932,-58.375279
AV DEL LIBERTADOR 602,129,-34.588783,-58.382182
SARMIENTO 747,123,-34.604619,-58.377217
URUGUAY 390,105,-34.604214,-58.386714
TUCUMAN 1,185,-34.600366,-58.368714
PERU 457,140,-34.613389,-58.374805
ESMERALDA 740,152,-34.599567,-58.37839
LAVALLE 1290,219,-34.602683,-58.385036
LAVALLE 1523,191,-34.602867,-58.38825
VIAMONTE 1167,104,-34.600388,-58.383259
SARMIENTO 1562,278,-34.605527,-58.388764
DOBLAS 160,120,-34.618205,-58.43138
DORREGO 1557,186,-34.501835,-58.516372
25 DE MAYO 487,135,-34.707506,-58.398614
MORENO 970,121,-34.611827,-58.379981
PARAGUAY 610,113,-34.597488,-58.375487
AV.LEANDRO N.ALEM 1110,112,-34.59521,-58.373005
TUCUMAN 540,395,-34.601138,-58.374593
VIAMONTE 1145,104,-34.600376,-58.383135
VIAMONTE 1336,117,-34.600673,-58.38595
FLORIDA 253,145,-34.605292,-58.375186
FLORIDA 165,124,-34.606115,-58.375185
MARCELO T. DE ALVEAR 684,106,-34.596259,-58.376656
LAVALLE 715,190,-34.602303,-58.376931
MAIPU 1210,352,-34.594095,-58.37694
PERU 359,183,-34.612092,-58.374829
AV LEANDRO N ALEM 1110,201,-34.59521,-58.373005
VIAMONTE 1481,114,-34.60057,-58.387745
LAVALLE 482,101,-34.602082,-58.373577
MONTEVIDEO 708,127,-34.600499,-58.389707
VIAMONTE 611,125,-34.599882,-58.375641
SARMIENTO 643,199,-34.604498,-58.375848
SARMIENTO 767,115,-34.604637,-58.377492
RECONQUISTA 336,467,-34.60397,-58.372396
LAVALLE 1718,127,-34.603255,-58.391354
MARCELO T DE ALVEAR 624,183,-34.596345,-58.375654
SAN MARTIN 140,142,-34.606399,-58.373831
CERRITO 1266,138,-34.593367,-58.382826
MAIPU 388,114,-34.6036,-58.376652
URUGUAY 856,118,-34.598672,-58.38693
SUIPACHA 190,186,-34.606185,-58.379449
VIAMONTE 1453,116,-34.600563,-58.387502
PARAGUAY 1225,173,-34.598127,-58.384512
SARMIENTO 1469,105,-34.605207,-58.387395
FLORIDA 537,248,-34.601583,-58.374904
CERRITO 836,133,-34.598733,-58.382485
CERRITO 740,461,-34.599996,-58.382376
RECONQUISTA 379,108,-34.603522,-58.372407
COLOMBRES 44,132,-34.611971,-58.419386
MARCELO T. DE ALVEAR 624,325,-34.596345,-58.375654
TALCAHUANO 446,107,-34.603351,-58.385142
ESMERALDA 1066,122,-34.595566,-58.378486
MAIPU 1300,622,-34.592905,-58.37565
SUIPACHA 268,388,-34.605178,-58.379438
SARMIENTO 412,114,-34.604542,-58.372774
